Latitud,Longitud,Magnitud,Profundidad,
2022-11-20 15:16:55, -23.38 , -179.64 , 4.4 , 549 
2022-11-20 15:04:28, 58.24 , -155.24 , 4.1 , 7 
2022-11-20 14:35:33, -10.43 , 123.77 , 5.1 , 10 
2022-11-20 13:48:17, 37.68 , 20.97 , 4.3 , 10 
2022-11-20 13:31:14, 36.97 , 3.71 , 4.1 , 10 
2022-11-20 11:48:10, -42.93 , -82.34 , 4.9 , 10 
2022-11-20 11:03:12, -21.21 , -68.61 , 4.2 , 121 
2022-11-20 10:48:03, 42.96 , 144.66 , 4.9 , 53 
2022-11-20 09:17:24, -24.16 , -179.96 , 4.6 , 514 
2022-11-20 08:55:08, -6.48 , 143.31 , 5.0 , 10 
2022-11-20 06:09:38, 18.56 , -68.88 , 4.11 , 135 
2022-11-20 06:08:38, 43.89 , 13.31 , 4.7 , 10 
2022-11-20 05:20:30, -7.82 , 122.55 , 4.4 , 286 
2022-11-20 04:22:11, -15.40 , -172.77 , 4.5 , 35 
2022-11-20 04:16:46, 44.59 , 79.67 , 4.7 , 22 
2022-11-20 03:21:44, 11.68 , -87.53 , 4.1 , 35 
2022-11-20 03:09:44, 36.65 , 71.11 , 4.3 , 204 
2022-11-20 02:03:23, 24.64 , 121.98 , 5.1 , 72 
2022-11-20 01:49:41, 55.71 , 162.54 , 4.4 , 30 
2022-11-20 21:14:12, -38.00 , 175.97 , 4.2 , 258 
2022-11-19 15:00:55, -59.80 , -26.40 , 5.1 , 50 
2022-11-19 15:04:20, 71.33 , -134.29 , 4.1 , 12 
2022-11-19 14:30:33, 44.53 , 147.19 , 4.3 , 143 
2022-11-19 13:10:17, -7.80 , 108.02 , 5.0 , 76 
2022-11-19 13:31:11, -59.83 , -26.40 , 5.3 , 38 
2022-11-19 11:49:10, -19.36 , -68.77 , 4.2 , 142 
2022-11-19 11:03:10, 55.65 , 162.57 , 5.1 , 24 
2022-11-19 10:18:03, 29.76 , 101.98 , 4.5 , 10 
2022-11-19 09:17:25, 72.36 , -74.31 , 4.5 , 9 
2022-11-19 08:55:02, -17.40 , -178.40 , 4.4 , 586 
2022-11-19 06:10:38, 51.74 , -178.04 , 4.2 , 6 
2022-11-19 06:09:38, 46.26 , 149.34 , 4.4 , 170 
2022-11-19 05:20:35, 36.64 , 71.36 , 4.4 , 224 
2022-11-19 04:22:14, -32.43 , -71.83 , 4.4 , 24 
2022-11-19 04:14:46, 34.80 , 32.65 , 4.2 , 10 
2022-11-19 03:21:46, 56.41 , 113.31 , 4.3 , 10 
2022-11-19 03:09:40, -17.81 , -71.01 , 4.4 , 73 
2022-11-19 02:03:20, 9.32 , -82.66 , 4.1 , 10 
2022-11-19 01:19:41, -32.42 , -71.76 , 4.6 , 36 
2022-11-19 21:15:12, -33.25 , -71.07 , 4.3 , 75 
2022-11-18 15:14:55, -30.81 , -179.81 , 4.1 , 406 
2022-11-18 15:07:28, 16.04 , 119.48 , 5.1 , 22 
2022-11-18 14:35:37, 44.77 , 140.94 , 4.1 , 265 
2022-11-18 13:48:14, -52.20 , 13.76 , 5.5 , 10 
2022-11-18 13:31:10, 35.45 , -3.66 , 4.3 , 10 
2022-11-18 11:49:10, 34.67 , 70.58 , 4.0 , 10 
2022-11-18 11:02:12, 23.46 , 102.24 , 4.9 , 15 
2022-11-18 10:47:05, 34.39 , 26.62 , 4.3 , 34 
2022-11-18 09:15:22, 43.37 , -126.62 , 4.5 , 10 
2022-11-18 08:54:09, -4.63 , 100.55 , 5.4 , 10 
2022-11-18 06:09:48, -4.89 , 100.80 , 6.9 , 25 
2022-11-18 06:09:38, 29.64 , 102.02 , 4.7 , 10 
2022-11-18 05:22:30, -13.16 , 166.61 , 4.6 , 35 
2022-11-18 04:22:17, 41.33 , 83.86 , 4.3 , 10 
2022-11-18 04:18:46, -22.06 , 170.23 , 5.0 , 10 
2022-11-18 03:21:46, -6.43 , 130.02 , 4.3 , 162 
2022-11-18 03:19:44, 53.15 , 159.74 , 5.0 , 62 
2022-11-18 02:13:23, -29.75 , -177.58 , 5.1 , 40 
2022-11-18 01:49:46, -6.59 , 104.38 , 4.4 , 38 
2022-11-18 21:14:10, -11.47 , 166.33 , 4.5 , 78 
2022-11-17 15:14:55, -32.85 , -178.73 , 4.6 , 10 
2022-11-17 15:05:25, 39.55 , 73.14 , 4.4 , 44 
2022-11-17 14:35:34, 61.37 , -150.15 , 4.9 , 46 
2022-11-17 13:38:47, 64.48 , -147.30 , 4.3 , 12 
2022-11-17 13:31:14, 2.80 , 128.67 , 4.2 , 215 
2022-11-17 11:49:10, -18.44 , -69.91 , 4.1 , 92 
2022-11-17 11:04:12, 13.52 , -91.80 , 4.6 , 35 
2022-11-17 10:49:03, 38.20 , 141.78 , 4.6 , 65 
2022-11-17 09:17:25, -5.10 , 134.05 , 4.9 , 35 
2022-11-17 08:55:07, 26.97 , 55.23 , 5.2 , 10 
2022-11-17 06:19:38, 35.61 , 140.17 , 4.5 , 67 
2022-11-17 06:08:38, -19.42 , -176.84 , 4.7 , 320 
2022-11-17 05:21:30, 19.04 , -67.29 , 5.0 , 4 
2022-11-17 04:32:41, -22.34 , 170.20 , 5.4 , 47 
2022-11-17 04:16:40, -24.41 , -176.62 , 4.8 , 178 
2022-11-17 03:21:40, 33.54 , 72.14 , 4.4 , 34 
2022-11-17 03:29:44, 1.56 , 126.16 , 4.5 , 53 
2022-11-17 02:08:23, -5.15 , 153.80 , 5.1 , 73 
2022-11-17 01:49:40, -11.32 , 163.95 , 5.0 , 10 
